theta1,theta2,px,py
50,360,57.85088487,68.94399988
60,0,45,77.94228634
60,10,38.68080573,80.88897502
60,20,31.94592711,82.69358031
60,30,25,83.30127019
60,40,18.05407289,82.69358031
60,50,11.31919427,80.88897502
60,60,5,77.94228634
60,70,-0.711504387,73.94304791
60,80,-5.641777725,69.01277458
60,90,-9.641016151,63.30127019
60,100,-12.58770483,56.98207592
60,110,-14.39231012,50.2471973
60,120,-15,43.30127019
60,130,-14.39231012,36.35534308
60,140,-12.58770483,29.62046446
60,150,-9.641016151,23.30127019
60,160,-5.641777725,17.5897658
60,170,-0.711504387,12.65949246
60,180,5,8.660254038
60,190,11.31919427,5.713565358
60,200,18.05407289,3.908960069
60,210,25,3.301270189
60,220,31.94592711,3.908960069
60,230,38.68080573,5.713565358
60,240,45,8.660254038
60,250,50.71150439,12.65949246
60,260,55.64177772,17.5897658
60,270,59.64101615,23.30127019
60,280,62.58770483,29.62046446
60,290,64.39231012,36.35534308
60,300,65,43.30127019
60,310,64.39231012,50.2471973
60,320,62.58770483,56.98207592
60,330,59.64101615,63.30127019
60,340,55.64177772,69.01277458
60,350,50.71150439,73.94304791
60,360,45,77.94228634
70,0,30.7818129,84.57233587
70,10,24.04693427,86.37694116
70,20,17.10100717,86.98463104
70,30,10.15508006,86.37694116
70,40,3.420201433,84.57233587
70,50,-2.898992834,81.62564719
70,60,-8.610497221,77.62640876
70,70,-13.54077056,72.69613543
70,80,-17.54000899,66.98463104
70,90,-20.48669767,60.66543677
70,100,-22.29130295,53.93055815
70,110,-22.89899283,46.98463104
70,120,-22.29130295,40.03870393
70,130,-20.48669767,33.30382531
70,140,-17.54000899,26.98463104
70,150,-13.54077056,21.27312665
70,160,-8.610497221,16.34285331
70,170,-2.898992834,12.34361489
70,180,3.420201433,9.396926208
70,190,10.15508006,7.592320919
70,200,17.10100717,6.984631039
70,210,24.04693427,7.592320919
70,220,30.7818129,9.396926208
70,230,37.10100717,12.34361489
70,240,42.81251155,16.34285331
70,250,47.74278489,21.27312665
70,260,51.74202332,26.98463104
70,270,54.688712,33.30382531
70,280,56.49331729,40.03870393
70,290,57.10100717,46.98463104
70,300,56.49331729,53.93055815
70,310,54.688712,60.66543677
70,320,51.74202332,66.98463104
70,330,47.74278489,72.69613543
70,340,42.81251155,77.62640876
70,350,37.10100717,81.62564719
70,360,30.7818129,84.57233587
80,0,15.62833599,88.63269777
80,10,8.682408883,89.24038765
80,20,1.736481777,88.63269777
80,30,-4.99839685,86.82809248
80,40,-11.31759112,83.8814038
80,50,-17.0290955,79.88216538
80,60,-21.95936884,74.95189204
