theta1,theta2,theta3,px,py,phi
0,30,120,67.32050808,30,150
0,30,130,65.84716374,26.84040287,160
0,30,140,64.94486109,23.47296355,170
0,30,150,64.64101615,20,180
0,30,160,64.94486109,16.52703645,190
0,30,170,65.84716374,13.15959713,200
0,30,180,67.32050808,10,210
0,40,0,95.96266659,38.56725658,40
0,40,10,93.49752992,41.03239325,50
0,40,20,90.64177772,43.03201246,60
0,40,30,87.48218059,44.5053568,70
0,40,40,84.11474128,45.40765945,80
0,40,50,80.64177772,45.71150439,90
0,40,60,77.16881417,45.40765945,100
0,40,70,73.80137486,44.5053568,110
0,40,80,70.64177772,43.03201246,120
0,40,90,67.78602553,41.03239325,130
0,40,100,65.32088886,38.56725658,140
0,40,110,63.32126965,35.71150439,150
0,40,120,61.84792531,32.55190725,160
0,40,130,60.94562266,29.18446794,170
0,40,140,60.64177772,25.71150439,180
0,40,150,60.94562266,22.23854083,190
0,40,160,61.84792531,18.87110152,200
0,40,170,63.32126965,15.71150439,210
0,40,180,65.32088886,12.85575219,220
0,50,0,88.56725658,45.96266659,50
0,50,10,85.71150439,47.9622858,60
0,50,20,82.55190725,49.43563014,70
0,50,30,79.18446794,50.33793279,80
0,50,40,75.71150439,50.64177772,90
0,50,50,72.23854083,50.33793279,100
0,50,60,68.87110152,49.43563014,110
0,50,70,65.71150439,47.9622858,120
0,50,80,62.85575219,45.96266659,130
0,50,90,60.39061553,43.49752992,140
0,50,100,58.39099631,40.64177772,150
0,50,110,56.91765197,37.48218059,160
0,50,120,56.01534933,34.11474128,170
0,50,130,55.71150439,30.64177772,180
0,50,140,56.01534933,27.16881417,190
0,50,150,56.91765197,23.80137486,200
0,50,160,58.39099631,20.64177772,210
0,50,170,60.39061553,17.78602553,220
0,50,180,62.85575219,15.32088886,230
0,60,0,80,51.96152423,60
0,60,10,76.84040287,53.43486857,70
0,60,20,73.47296355,54.33717121,80
0,60,30,70,54.64101615,90
0,60,40,66.52703645,54.33717121,100
0,60,50,63.15959713,53.43486857,110
0,60,60,60,51.96152423,120
0,60,70,57.14424781,49.96190501,130
0,60,80,54.67911114,47.49676835,140
0,60,90,52.67949192,44.64101615,150
0,60,100,51.20614758,41.48141902,160
0,60,110,50.30384494,38.1139797,170
0,60,120,50,34.64101615,180
0,60,130,50.30384494,31.1680526,190
0,60,140,51.20614758,27.80061328,200
0,60,150,52.67949192,24.64101615,210
0,60,160,54.67911114,21.78526396,220
0,60,170,57.14424781,19.32012729,230
0,60,180,60,17.32050808,240
0,70,0,70.5212086,56.38155725,70
0,70,10,67.15376929,57.28385989,80
0,70,20,63.68080573,57.58770483,90
0,70,30,60.20784218,57.28385989,100
0,70,40,56.84040287,56.38155725,110
0,70,50,53.68080573,54.90821291,120
0,70,60,50.82505354,52.90859369,130
0,70,70,48.35991687,50.44345703,140
0,70,80,46.36029766,47.58770483,150
0,70,90,44.88695332,44.4281077,160
0,70,100,43.98465067,41.06066838,170
0,70,110,43.68080573,37.58770483,180
0,70,120,43.98465067,34.11474128,190
0,70,130,44.88695332,30.74730196,200
0,70,140,46.36029766,27.58770483,210
0,70,150,48.35991687,24.73195264,220
0,70,160,50.82505354,22.26681597,230
0,70,170,53.68080573,20.26719676,240
0,70,180,56.84040287,18.79385242,250
0,80,0,60.41889066,59.08846518,80
0,80,10,56.94592711,59.39231012,90
0,80,20,53.47296355,59.08846518,100
0,80,30,50.10552424,58.18616254,110
0,80,40,46.94592711,56.7128182,120
0,80,50,44.09017491,54.71319898,130
0,80,60,41.62503824,52.24806231,140
0,80,70,39.62541903,49.39231012,150
0,80,80,38.15207469,46.23271299,160
0,80,90,37.24977205,42.86527367,170
0,80,100,36.94592711,39.39231012,180
